ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description
;1;Figurka Five Nights at Freddys Funko Dreadbear 13 cm;(Funko,Five Nights at Freddy's);89,00z³;Funko;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Five Nights at Freddys Funko Dreadbear.</strong></p><p>Figurka posiada kilkanaœcie punktów artykulacji oraz dodatkowe akcesoria.</p><p>Wymiary: ok. 13 cm.</p><p>Ca³oœæ w oryginalnym opakowaniu.</p><p>Produkt oryginalny, licencjonowany.</p><p>Jak na zdjêciu.</p><p>SprawdŸ tak¿e pozosta³e figurki Five Nights at Freddy's dostêpne w sklepie GeekUP!</p></div>
;1;Figurka Youtooz Five Night's at Freddy Dreadbear 12 cm;(Youtooz,Five Nights at Freddy's);195,00z³;Youtooz;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Youtooz Five Night's at Freddy Dreadbear.</strong></p><p>Oryginalny produkt na licencji.</p><p>Winylowe figurki Youtooz charakteryzuje œwietny design i wysoka jakoœæ wykonania.</p><p>Figurka zapakowana w oryginalne pude³ko.</p><p>Wymiary: ok. 12 cm.</p></div>
;1;Figurka Youtooz Five Night's at Freddy Ruined Roxy 11 cm;(Youtooz,Five Nights at Freddy's);195,00z³;Youtooz;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Figurka Youtooz Five Night's at Freddy Ruined Roxy.</strong></p><p>Oryginalny produkt na licencji.</p><p>Winylowe figurki Youtooz charakteryzuje œwietny design i wysoka jakoœæ wykonania.</p><p>Figurka zapakowana w oryginalne pude³ko.</p><p>Wymiary: ok. 11 cm.</p></div>
;1;Maskotka Pluszak Youtooz  Five Nights at Candy's FNAF Long Candy 30 cm;(Youtooz,Five Nights at Freddy's);199,00z³;Youtooz;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Maskotka Pluszak Youtooz Five Nights at Candy's FNAF Long Candy 30 cm.</strong></p><p><strong>Oryginalny produkt na licencji.</strong></p><p>Pluszak mi³y i miêkki w dotyku.</p><p>Wymiary: 30 cm.</p></div>
;1;Maskotka Pluszak Youtooz   Five Nights at Freddy's FNAF Bonnie Sit 22 cm;(Youtooz,Five Nights at Freddy's);189,00z³;Youtooz;4-7 dni;Ostatnia sztuka!;<div class="resetcss" itemprop="description"><p><strong>Maskotka Pluszak Youtooz Five Nights at Freddy's FNAF Bonnie Sit.</strong></p><p><strong>Oryginalny produkt na licencji.</strong></p><p>Pluszak mi³y i miêkki w dotyku.</p><p>Wymiary: 22 cm.</p></div>
;1;Kubek Harry Potter Hogwart 355 ml;(Harry Potter,Gad¿ety);39,00z³;Harry Potter;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Kubek Harry Potter - Hogwarts.</strong></p><p>Niesamowity kubek dla fana magicznego œwiata HP.</p><p>Bardzo ³adne i staranne wykonanie.</p><p>Materia³: ceramika.</p><p>Pojemnoœæ: ok. 355 ml.</p><p>Produkt oryginalny, licencjonowany.</p><p><strong>Warto tak¿e zerkn¹æ na pozosta³e gad¿ety Harrego Pottera dostêpne w naszym geekowym sklepie.</strong></p></div>
;1;Maskotka Pluszak Youtooz   Five Nights at Freddy's FNAF Popgoes Sit 22 cm;(Youtooz,Five Nights at Freddy's);189,00z³;Youtooz;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Maskotka Pluszak Youtooz Five Nights at Freddy's FNAF Popgoes Sit.</strong></p><p><strong>Oryginalny produkt na licencji.</strong></p><p>Pluszak mi³y i miêkki w dotyku.</p><p>Wymiary: 22 cm.</p></div>
;1;Maskotka Pluszak Youtooz   Five Nights at Freddy's FNAF Roxy Sit 22 cm;(Youtooz,Five Nights at Freddy's);165,00z³;Youtooz;4-7 dni;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong>Maskotka Pluszak Youtooz Five Nights at Freddy's FNAF Roxy Sit.</strong></p><p><strong>Oryginalny produkt na licencji.</strong></p><p>Pluszak mi³y i miêkki w dotyku.</p><p>Wymiary: 22 cm.</p></div>
;1;Figurka Butcher RzeŸnik Diablo 4 Funko POP! 15 cm;(Funko,Funko POP!);119,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Figurka Funko POP! Diablo IV Butcher nr 1010.</span></strong></p><p><span style="font-size: small;">Urocza figurka wykonana jest z winylu.</span></p><p><span style="font-size: small;">Wymiary: ok. 15 cm.</span></p><p><span style="font-size: small;">Ca³oœæ w oryginalnym opakowaniu.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany.</span></p></div>
;1;Figurka Toy Story Bitty POP! Funko 4-pack Zurg Buzz;(Funko,Disney);49,00z³;Funko;24 godziny;Produkt dostêpny;<div class="resetcss" itemprop="description"><p><strong><span style="font-size: small;">Mini figurki Funko POP! Bitty Toy Story 4-pack Zurg.</span></strong></p><p>W zestawie znajduj¹ siê 4 figurki.</p><p><span style="font-size: small;">Wymiary: ok. 3,2 cm.</span></p><p><span style="font-size: small;">Produkt oryginalny, licencjonowany, fabrycznie zafoliowany i zamkniêty.</span></p><p><span style="font-size: small;"><strong>SprawdŸ tak¿e pozosta³e figurki Funko dostêpne w sklepie GeekUP!.</strong></span></p></div>
