ID;Active (0/1);Name *;Categories (x,y,z...);Wholesale price;Brand;Delivery;Availability;Description;Image URLs (x,y,z...)
;1;6 x Funko POP! Mystery Box Figurka Niespodzianka;Funko|Mystery Boxy|Zakupy wg kategorii|Figurki|Funko POP!|Limited Edition (Exclusive)|Uszkodzone opakowania|Zakupy wg tematyki|Gadżety z filmów i seriali|Gadżety z komiksów, anime i bajek|Gadżety z gier|Promocje;"155,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><span style=""font-size: 12pt;""><strong>Mystery Funko POP! Box x 6 to Idealny box na poszerzenie kolekcji Funko POP! lub rozpoczęcie przygody z kolekcjonowaniem. Figurki Funko świetnie prezentują się na półce z książkami czy biurku.</strong></span></p>
<p><span style=""font-size: 12pt;""> </span></p>
<p><span style=""font-size: 12pt;"">W tym zestawie koszt figurki to mniej niż <span style=""color: #ff6600;""><strong>26</strong><strong> zł za sztukę!</strong></span> Normalna cena figurek POP to mniej więcej 60-70 zł za sztukę.</span></p>
<p><span style=""font-size: 12pt;"">Jeżeli lubisz niespodzianki to Mystery POP! Box może być dla Ciebie fajnym rozwiązaniem.</span></p>
<p><span style=""font-size: 12pt;"">Dostaniesz od nas <strong>6 losowych figurek Funko POP! (figurki są nowe i bez wad). </strong></span></p>
<p><span style=""font-size: 12pt;"">W środku znajdziesz <strong>minimum jedną figurkę z serii Exclusive/ Limited Edition/ Chase itp.</strong></span></p>
<p><span style=""font-size: 12pt;"">W tym boxie, sporadycznie mogą znaleźć się figurki, których opakowania mogą być lekko uszkodzone (są to pojedyncze przypadki i zazwyczaj jest to jedna figurka). Wiele opinii klientów jest takich, że uszkodzenia pudełek w tym mystery boxie są minimalne lub nie ma ich wcale.</span></p>
<p> </p>
<p><span style=""font-size: 12pt;"">Sprawdź opinie naszych klientów - 99% pozytywnych opini! (zakładka ""Opinie o produkcie"" znajdująca się powyżej).</span></p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""><span style=""font-size: 12pt;""> </span></div></div>";"images/6_x_Funko_POP!_Mystery_Box_Figurka_Niespodzianka/Mystery-Box-Z-Funko-Popami.jpg|images/6_x_Funko_POP!_Mystery_Box_Figurka_Niespodzianka/Mystery-Box-Funko-Pop-Promocja.jpg"
;1;Prezent Mystery Box Gadżety Harry Potter Pudełko Niespodzianka;Funko|Mystery Boxy|Zakupy wg kategorii|Do Domu, Biura i Kuchni|Kubki / Kufle / Miski|Pozostałe Akcesoria|Gadżety|Breloki|Długopisy / Zakładki|Gry / Puzzle|Maskotki|Pozostałe Gadżety|Figurki|Figurki Action/ Modele|Funko POP!|Mini Figurki|Odzież|Koszulki Męskie|Koszulki Damskie|Dodatki|Bransoletki / Opaski|Biżuteria|Czapki z daszkiem|Czapki zimowe|Portfele|Plecaki|Szaliki|Torby & Worki|Pozostałe|Zakupy wg tematyki|Gadżety z komiksów, anime i bajek|Marvel;"219,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Czym jest MEGA Mystery Box Harry Potter ?</strong></p>
<p><br/><strong>Mega Mystery Box Harry Potter</strong> to nowa, ulepszona wersja naszego podstawowego pudełka niespodzianki w wersji Harry Potter (Magic). W tym boxie jest po prostu wszystkiego więcej! Znajdziesz w nim <strong>co najmniej 6 geekowych produktów. </strong>Tworzymy boxy wybierając akcesoria z szerokiego katalogu produktów, m. in. figurek, kubków, breloków, replik, maskotek i wielu innych gadżetów. Na pewno wśród itemów znajdzie się <strong>minimum jedna figurka Funko POP!</strong>.</p>
<p><br/><strong>Dlaczego warto?</strong></p>
<p><br/>- Każde pudełko niespodzianka zawiera produkty, których łączna wartość detaliczna <strong>przekracza granicę 219 zł</strong> o minimum kilkadziesiąt procent! </p>
<p>- <strong>Mystery Box to super prezent dla każdego fana HP</strong>. Gotowy, ładnie zapakowany zestaw, w którym każdy fan znajdzie coś dla siebie. Otwierając pudełko nie mamy pojęcia co znajduje się w środku, co dodatkowo podnosi poziom ekscytacji. </p>
<p>- W boxie znajdują się <strong>wyłącznie</strong> <strong>produkty związane z magicznym światem Harrego Pottera i Fantastycznych Zwierząt.</strong></p>
<p>- Nie musisz czekać! Boxy wysyłamy w maksymalnie 24 godziny!</p>
<p>- Wszystkie gadżety są w 100% nowe i oryginalne.</p></div>";"images/Prezent_Mystery_Box_Gadżety_Harry_Potter_Pudełko_Niespodzianka/Harry-Potter-Mystery-Box.jpg|images/Prezent_Mystery_Box_Gadżety_Harry_Potter_Pudełko_Niespodzianka/Mystery-Harry-Potter-1.jpg"
;1;Mystery Funko POP Box Figurka Niespodzianka;Funko|Mystery Boxy|Zakupy wg kategorii|Figurki|Funko POP!|Limited Edition (Exclusive)|Zakupy wg tematyki|Gadżety z filmów i seriali|Gadżety z komiksów, anime i bajek|Gadżety z gier|Promocje;"29,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Mystery Funko POP! Box - co to jest :)?</strong></p>
<p>Jeżeli lubisz niespodzianki to Mystery POP! Box może być dla Ciebie fajnym rozwiązaniem :). </p>
<p>Dostaniesz od nas 1 losową figurkę Funko POP!.</p>
<p>Wszystkie figurki są w nowe i oryginalne.</p>
<p> </p>
<p><strong>Dlaczego warto?</strong></p>
<p>- super niespodzianka</p>
<p>- gwarancja otrzymania figurki, której nie masz w kolekcji (przy zakupie prosimy o informację jakie figurki już posiadasz - pole ""Uwagi"" przy formularzu adresowym)</p>
<p>- przy zamówieniu kilku sztuk na pewno nie otrzymasz takich samych figurek</p>
<p> </p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div></div>";"images/Mystery_Funko_POP_Box_Figurka_Niespodzianka/Mystery-Funko-Pop.jpg|images/Mystery_Funko_POP_Box_Figurka_Niespodzianka/Mystery-Funko-Pop-Figurka.jpg"
;1;Mystery Box Funko POP Figurka Niespodzianka 6 Figurek;Funko|Mystery Boxy|Zakupy wg kategorii|Figurki|Funko POP!|Limited Edition (Exclusive)|Zakupy wg tematyki|Gadżety z filmów i seriali|Gadżety z komiksów, anime i bajek|Gadżety z gier|Promocje;"169,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Mystery POP! Box x 6 - co to jest :)?</strong></p>
<p>Jeżeli lubisz niespodzianki to Mystery POP! Box może być dla Ciebie fajnym rozwiązaniem :).</p>
<p>Dostaniesz od nas <strong>6 losowych figurek Funko POP! (w tym co najmniej jedną figurkę z serii <span style=""background-color: #ffffff; color: #ff6600;"">Exclusive - Special Edition lub CHASE! - </span><span style=""color: #000000;"">wartośc takiej figurki jest dużo wyższa</span>).</strong></p>
<p><span style=""font-size: 12pt;"">W tym zestawie koszt figurki to <span style=""color: #ff6600;""><strong>niecałe 29 zł za sztukę!</strong></span> Normalna cena figurek POP to mniej więcej 50-70 zł za sztukę.</span></p>
<p><strong>Poniżej sprawdzisz opinie o naszym mystery boxie - 99% zadowolonych klientów!</strong></p>
<p> </p>
<p>Wszystkie figurki są w nowe i oryginalne. Pudełka nie posiadają żadnych uszkodzeń.</p>
<p>Przy zamówieniu więcej niż jednej sztuki masz pewność, że nie otrzymasz powtórek.</p>
<p>Wartość figurek w boxie przekracza wartość rynkową o co najmniej kilkadziesiąt procent!</p>
<p>Ciekawy pomysł na prezent dla fana Funko POP.</p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div></div>";"images/Mystery_Box_Funko_POP_Figurka_Niespodzianka_6_Figurek/Mystery-Box-Funko-Pop.jpg|images/Mystery_Box_Funko_POP_Figurka_Niespodzianka_6_Figurek/Mystery-Box-Z-Funko-Popami.jpg"
;1;Prezent Gadżety MARVEL Pudełko Niespodzianka Mystery Box;Funko|Mystery Boxy|Zakupy wg kategorii|Do Domu, Biura i Kuchni|Kubki / Kufle / Miski|Pozostałe Akcesoria|Gadżety|Breloki|Długopisy / Zakładki|Gry / Puzzle|Maskotki|Pozostałe Gadżety|Figurki|Figurki Action/ Modele|Funko POP!|Mini Figurki|Odzież|Koszulki Męskie|Koszulki Damskie|Dodatki|Bransoletki / Opaski|Biżuteria|Czapki z daszkiem|Czapki zimowe|Portfele|Plecaki|Szaliki|Torby & Worki|Pozostałe|Zakupy wg tematyki|Gadżety z komiksów, anime i bajek|Marvel;"219,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Czym jest MEGA Mystery Box MARVEL GeekUP! ?</strong></p>
<p><br/><strong>Mega Mystery Box MARVEL</strong> to nowa, ulepszona wersja naszego podstawowego pudełka niespodzianki GeekUP. W tym boxie jest po prostu wszystkiego więcej! Znajdziesz w nim <strong>co najmniej 6 geekowych produktów tylko z uniwersum MARVELA!</strong></p>
<p><br/><strong>Dlaczego warto?</strong></p>
<p><br/>- Każde pudełko niespodzianka zawiera produkty, których łączna wartość detaliczna <strong>przekracza granicę 219 zł</strong> o minimum kilkadziesiąt procent! </p>
<p>- <strong>Mystery Box to super prezent dla fana uniwersum MARVEL</strong>. Gotowy, ładnie zapakowany zestaw, w którym każdy fan znajdzie coś dla siebie. Otwierając pudełko nie mamy pojęcia co znajduje się w środku, co dodatkowo podnosi poziom ekscytacji. </p>
<p>- W boxie znajdują się tylko <strong>gadżety na licencji MARVEL </strong>(mogą to być figurki, kubki, breloczki itp.)</p>
<p>- Co najmniej jedna figurka <strong>Funko POP! MARVEL ze specjalnej serii Exclusive, Special Edition lub CHASE!</strong></p>
<p>- Nie musisz czekać! Boxy wysyłamy w maksymalnie 24 godziny.</p>
<p>- Wszystkie gadżety są w 100% nowe, licencjonowane i w oryginalnych opakowaniach.</p></div>";"images/Prezent_Gadżety_MARVEL_Pudełko_Niespodzianka_Mystery_Box/Mystery-Box-Marvel.jpg|images/Prezent_Gadżety_MARVEL_Pudełko_Niespodzianka_Mystery_Box/Mystery-Box-Marvl-2.jpg"
;1;Mystery Box MARVEL Exclusive Figurka Niespodzianka Funko POP x 6;Funko|Mystery Boxy|Zakupy wg kategorii|Figurki|Funko POP!|Limited Edition (Exclusive)|Zakupy wg tematyki|Gadżety z komiksów, anime i bajek|Marvel|Deadpool|Promocje;"179,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Mystery POP! Marvel Box x 6 to idealny pomysł na rozszerzenie swojej kolekcji figurek z serii Marvel Comics.</strong></p>
<p>Jeżeli lubisz niespodzianki to Mystery POP! Box może być dla Ciebie fajnym rozwiązaniem :). Dostaniesz od nas jedynie oryginalne, w pełni nowe i nieuszkodzone figurki Marvel Funko POP.</p>
<p><strong>Mystery bo zawiera 6 losowych figurek Funko POP! z serii MARVEL (w tym co najmniej jedną limitowaną figurkę, mogą to być naklejki Special Edition, Exclusive, Limited Edition czy CHASE).</strong></p>
<p>W tym zestawie koszt figurki Marvel to <span style=""color: #ff6600;""><strong>tylko 33 zł za sztukę! </strong></span> W tej kwocie trudno o znalezienie lepszej oferty, normalna cena figurek Funko jest sporo wyższa.</p>
<p> </p>
<p><strong>Dlaczego warto:</strong></p>
<p>- tylko oryginalne figurki Funko POP! Marvel</p>
<p>- co najmniej jedną figurę ze specjalnej serii</p>
<p>- wartość rynkowa figurek w środku jest wyższa od ceny boxu o kilkadziesiąt procent!</p>
<p>- świetna zabawa i gwarantowany dreszczyk emocji przy otwieraniu</p>
<p> </p>
<p>Idealny pomysł na prezent dla fana Figurek Funko POP!, a w szczególności uniwersum Marvel Comics.</p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div></div>";"images/Mystery_Box_MARVEL_Exclusive_Figurka_Niespodzianka_Funko_POP_x_6/Mystery-Box-Funko-Pop-Marvel.jpg|images/Mystery_Box_MARVEL_Exclusive_Figurka_Niespodzianka_Funko_POP_x_6/Mystery-Marvel-Figurki-Funko-Pop.jpg"
;1;Mystery Box z Figurkami Funko POP Pudełko 3 sztuki Figurek;Funko|Mystery Boxy|Zakupy wg kategorii|Gadżety|Figurki|Funko POP!|Limited Edition (Exclusive)|Zakupy wg tematyki|Gadżety z filmów i seriali|Gadżety z komiksów, anime i bajek|Gadżety z gier|Promocje;"89,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Mystery Funko POP! Box 3 sztuki - co to jest :)?</strong></p>
<p>Jeżeli lubisz niespodzianki to Mystery POP! Box może być dla Ciebie fajnym rozwiązaniem. W boxie znajdziesz jedynie w pełni oryginalne, nowe i nieuszkodzone figurki Funko POP. Dreszczyk emocji przy otwieraniu gwarantowany!</p>
<p>W tym boxie znajdziesz <strong>trzy losowe figurki Funko POP. </strong>Boxy tworzymy tak aby POP'y były z różnych tematyk. Mamy naprawdę sporo fajnych figurek i w każdym boxie powinieneś znależć coś dla siebie. Są to zazwyczaj jedne z najpopularniejszych popkultorywych franczyz, które znane są prawie wszystkim! </p>
<p><strong>W boxie jest możliwość trafienia figurek z naklejkami Special Edition, Exclusive czy Limited Edition!</strong></p>
<p>Wszystkie figurki są w nowe i oryginalne. </p>
<p>Jeżeli jesteś fanem figurek Funko POP! lub chciałbyś zacząć kolekcjonować te urocze pop vinyle to jest to dla Ciebie idealny produkt. Mystery Box Funko POP sprawdzi się również idealnie jako prezent dla fana popkultury czy fana stricte Funko. Dodatkowo jest to fajna opcja by pozyskać ciekawe i tanie figurki do wymiany z innymi kolekcjonerami.</p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div></div>";"images/Mystery_Box_z_Figurkami_Funko_POP_Pudełko_3_sztuki_Figurek/Figurki-Funko-Pop-Sklep.jpg|images/Mystery_Box_z_Figurkami_Funko_POP_Pudełko_3_sztuki_Figurek/Mystery-Box-Funko-Pop-3-sztuki.jpg"
;1;Mega Mystery Box GeekUP Pudełko Niespodzianka;Funko|Mystery Boxy|Zakupy wg kategorii|Do Domu, Biura i Kuchni|Kubki / Kufle / Miski|Pozostałe Akcesoria|Gadżety|Breloki|Długopisy / Zakładki|Gry / Puzzle|Maskotki|Pozostałe Gadżety|Figurki|Figurki Action/ Modele|Funko POP!|Mini Figurki|Odzież|Koszulki Męskie|Koszulki Damskie|Dodatki|Bransoletki / Opaski|Biżuteria|Czapki z daszkiem|Czapki zimowe|Portfele|Plecaki|Szaliki|Torby & Worki|Pozostałe|Zakupy wg tematyki|Gadżety z komiksów, anime i bajek|Marvel|Promocje;"179,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Czym jest MEGA Mystery Box GeekUP! ?</strong></p>
<p><br/><strong>Mega Mystery Box</strong> to nowa, ulepszona wersja naszego podstawowego pudełka niespodzianki GeekUP. W tym boxie jest po prostu wszystkiego więcej! Znajdziesz w nim <strong>co najmniej 6 geekowych produktów. </strong>Tworzymy boxy wybierając akcesoria z szerokiego katalogu produktów, m. in. figurek, kubków, breloków, replik, maskotek i wielu innych gadżetów. Na pewno wśród itemów znajdzie się <strong>minimum jedna figurka Funko POP!</strong>.</p>
<p><br/><strong>Dlaczego warto?</strong></p>
<p><br/>- Każde pudełko niespodzianka zawiera produkty, których łączna wartość detaliczna <strong>przekracza granicę 199 zł</strong> o minimum kilkadziesiąt procent! </p>
<p>- <strong>Mystery Box to super prezent dla każdego geeka</strong>. Gotowy, ładnie zapakowany zestaw, w którym każdy fan znajdzie coś dla siebie. Otwierając pudełko nie mamy pojęcia co znajduje się w środku, co dodatkowo podnosi poziom ekscytacji. </p>
<p>- W boxie znajdują się głównie produkty ze znanych geekowych tematyk jak: <strong>Marvel, DC Comics, Star Wars, Harry Potter, Rick and Morty, Lord Of The Rings, Gra o Tron, Dragon Ball Z, Disney, Transfomers, Friends, Dom z Papieru itp.</strong> Jeżeli którejś kategorii bardzo nie lubicie to dajcie znać w polu ""Dodatkowe uwagi"" i oczywiście je pominiemy.</p>
<p>- Jeżeli chciałbyś otrzymać np. więcej niż jedną figurkę daj nam znać i postaramy się dostosować do sugestii :). </p>
<p>- Nie musisz czekać! Boxy wysyłamy w maksymalnie 24 godziny!</p>
<p>- Wszystkie gadżety są w 100% nowe i oryginalne.</p></div>";"images/Mega_Mystery_Box_GeekUP_Pudełko_Niespodzianka/Mega-Mystery-Box-GeekUP.jpg|images/Mega_Mystery_Box_GeekUP_Pudełko_Niespodzianka/Mystery-Box-MEega.jpg"
;1;Mystery Box Gadżety Harry Potter Pudełko Niespodzianka na Prezent;Funko|Mystery Boxy|Zakupy wg kategorii|Do Domu, Biura i Kuchni|Kubki / Kufle / Miski|Pozostałe Akcesoria|Gadżety|Breloki|Długopisy / Zakładki|Gry / Puzzle|Maskotki|Pozostałe Gadżety|Figurki|Figurki Action/ Modele|Funko POP!|Mini Figurki|Odzież|Koszulki Męskie|Koszulki Damskie|Dodatki|Bransoletki / Opaski|Biżuteria|Czapki z daszkiem|Czapki zimowe|Portfele|Plecaki|Szaliki|Torby & Worki|Pozostałe|Zakupy wg tematyki|Gadżety z filmów i seriali|Harry Potter|Odzież i akcesoria|Różdżki i Repliki;"149,00zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Czym jest Mystery Box Magic Edition GeekUP! ?</strong></p>
<p><br/>GeekUP! Mystery Box to nic innego jak pudełko niespodzianka z gadżetami ze świata Harrego Pottera i Fantastycznych Zwierząt. Taki mały raj z geekowymi dobrociami, gdzie nie do końca wiadomo co na nas czeka. <strong>Jedynym pewnikiem, że znajdziesz w środku figurkę Funko POP!. </strong>Całościowo w pudełku znajdziesz minimum cztery gadżety związane z magicznym uniwersum HP.  </p>
<p><br/><strong>Dlaczego warto?</strong></p>
<p><br/>- Każde pudełko niespodzianka zawiera produkty, których łączna wartość detaliczna <strong>przekracza granicę 149 zł</strong> o minimum kilkadziesiąt procent! </p>
<p>- <strong>Mystery Box to super pomysł prezent dla fana Harrego Pottera</strong>. Gotowy, ładnie zapakowany zestaw, w którym każdy fan znajdzie coś dla siebie. Otwierając pudełko nie mamy pojęcia co znajduje się w środku, co dodatkowo podnosi poziom ekscytacji.</p>
<p>- Minimum cztery gadżety związane ze światem Harrego Pottera.</p>
<p>- Tylko nowe gadżety, w oryginalnych opakowaniach, pozbawione wad.</p>
<p>- Staranne, esetetyczne pakowanie każdego boxa.</p>
<p> </p>
<p><strong>Poniżej znajdziesz także opinie naszych klientów, mowią one najwięcej. :)</strong></p>
<p><br/><strong> </strong></p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div>
<p><strong><span style=""font-size: 10pt; font-family: verdana, geneva;"">Tabela rozmiarów - męskie:</span></strong></p>
<table style=""border: 1px solid #000000; height: 148px; width: 640px; background: transparent;"" width=""480"">
<tbody>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""> </td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><strong><span style=""font-size: 10pt;""> Rozmiar S </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 100px;""><strong><span style=""font-size: 10pt;""> Rozmiar M </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><strong><span style=""font-size: 10pt;""> Rozmiar L </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 101px;""><strong><span style=""font-size: 10pt;""> Rozmiar XL</span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><strong><span style=""font-size: 10pt;""> Rozmiar XXL</span></strong></td>
</tr>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""><strong><span style=""font-size: 10pt;""> Długość </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><span style=""font-size: 10pt;""> ok. 69 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 100px;""><span style=""font-size: 10pt;""> ok. 72 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><span style=""font-size: 10pt;""> ok. 76 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 101px;""><span style=""font-size: 10pt;""> ok. 78 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><span style=""font-size: 10pt;""> ok. 82 cm</span></td>
</tr>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""><strong><span style=""font-size: 10pt;""> Szerokość </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><span style=""font-size: 10pt;""> ok. 47 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 100px;""><span style=""font-size: 10pt;""> ok. 52 cm </span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><span style=""font-size: 10pt;""> ok. 55 cm </span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 101px;""><span style=""font-size: 10pt;""> ok. 60 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><span style=""font-size: 10pt;""> ok. 64 cm</span></td>
</tr>
</tbody>
</table>
<p> </p>
<p><strong><span style=""font-size: 10pt; font-family: verdana, geneva;"">Tabela rozmiarów - damskie:</span></strong></p>
<table style=""border: 1px solid #000000; height: 134px; width: 640px; background: transparent;"">
<tbody>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""> </td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><strong><span style=""font-size: 10pt;""> Rozmiar S </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 99px;""><strong><span style=""font-size: 10pt;""> Rozmiar M </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><strong><span style=""font-size: 10pt;""> Rozmiar L </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 102px;""><strong><span style=""font-size: 10pt;""> Rozmiar XL</span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><strong><span style=""font-size: 10pt;""> Rozmiar XXL</span></strong></td>
</tr>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;"">
<p><strong><span style=""font-size: 10pt;"">Długość</span></strong></p>
</td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><span style=""font-size: 10pt;"">ok. 60 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 99px;""><span style=""font-size: 10pt;"">ok. 63 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><span style=""font-size: 10pt;"">ok. 65 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 102px;""><span style=""font-size: 10pt;"">ok. 66 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><span style=""font-size: 10pt;"">ok. 68 cm</span></td>
</tr>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""><strong><span style=""font-size: 10pt;"">Szerokość na dole</span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><span style=""font-size: 10pt;""> ok. 47 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 99px;""><span style=""font-size: 10pt;""> ok. 49 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><span style=""font-size: 10pt;""> ok. 52 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 102px;""><span style=""font-size: 10pt;""> ok. 54 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><span style=""font-size: 10pt;""> ok. 57 cm</span></td>
</tr>
<tr>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 96px;""><strong><span style=""font-size: 10pt;""> Szerokość pod pachami </span></strong></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 95px;""><span style=""font-size: 10pt;""> ok. 45 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 99px;""><span style=""font-size: 10pt;""> ok. 47 cm </span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 94px;""><span style=""font-size: 10pt;""> ok. 50 cm </span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 102px;""><span style=""font-size: 10pt;""> ok. 53 cm</span></td>
<td style=""border: 1px solid #000000; text-align: center; background: transparent; width: 114px;""><span style=""font-size: 10pt;""> ok. 56 cm</span></td>
</tr>
</tbody>
</table>
<p style=""text-align: center;"">  </p></div>";"images/Mystery_Box_Gadżety_Harry_Potter_Pudełko_Niespodzianka_na_Prezent/c07a8907a0c31b1124f366d92711a102.jpg|images/Mystery_Box_Gadżety_Harry_Potter_Pudełko_Niespodzianka_na_Prezent/Mystery-Harry-Potter-1.jpg"
;1;Mystery POP! Box Figurka Niespodzianka Funko POP x 3 Uszkodzone Opakowania;Funko|Mystery Boxy|Zakupy wg kategorii|Figurki|Funko POP!|Limited Edition (Exclusive)|Uszkodzone opakowania|Zakupy wg tematyki|Gadżety z filmów i seriali|Gadżety z komiksów, anime i bajek|Gadżety z gier|Promocje;"77,99zł";"Funko";"24 godziny";"Produkt dostępny";"<div class=""resetcss"" itemprop=""description""><p><strong>Figurki Funko POP! 3 sztuki w formie Mystery Boxa - Pudełko Niespodzianka.</strong></p>
<p>Co znajdziesz w boxie?</p>
<p>Każdy Mystery Box zawiera <strong>trzy figurki Funko z serii POP!</strong> (wysokość ok. 9 cm).</p>
<p> </p>
<p><strong>Tylko oryginalne figurki POP!.</strong></p>
<p>Figurki ze znanych serii jak Marvel, DC Comics, Star Wars czy innych filmów, seriali i gier. Możliwość trafienia figurek z serii Special Edition/ Exclusive.</p>
<p>W tym boxie figurki mogą posiadać pudełka, które nie są w idealnym stanie. Figurki są natomiast nowe i nieuszkodzone.</p>
<p><strong>Koszt figurki w tym boxie to <span style=""color: #ff6600;"">tylko 25 zł za sztukę!</span></strong></p>
<p><span style=""color: #000000;"">Super pomysł na prezent dla fana figurek Funko, a także tani sposób na rozpoczęcie lub poszerzenie kolekcji.</span></p>
<p><span style=""color: #000000;"">Przy zakupie będziesz mieć możliwość podania figurek, które już posiadasz, tak abyśmy mogli uniknąć powtórek (3 etap w koszyku).</span></p>
<div id=""spoon-plugin-kncgbdglledmjmpnikebkagnchfdehbm-2"" style=""display: none;""> </div></div>";"images/Mystery_POP!_Box_Figurka_Niespodzianka_Funko_POP_x_3_Uszkodzone_Opakowania/Mystery-Figurki-Funko-Popy.jpg|images/Mystery_POP!_Box_Figurka_Niespodzianka_Funko_POP_x_3_Uszkodzone_Opakowania/Figurki-Funko-Mystery.jpg|images/Mystery_POP!_Box_Figurka_Niespodzianka_Funko_POP_x_3_Uszkodzone_Opakowania/2-x-fun-ko-uszkodzone.jpg"
